"label","n","parent","id"
"Colombia",116,"Crime","Crime  -  Colombia"
"Colombia",35,"Documentary","Documentary  -  Colombia"
"Colombia",291,"Drama","Drama  -  Colombia"
"Colombia",16,"Family","Family  -  Colombia"
"Colombia",28,"Fantasy","Fantasy  -  Colombia"
"Colombia",2,"Film Noir","Film Noir  -  Colombia"
"Colombia",30,"Horror","Horror  -  Colombia"
"Colombia",16,"Music","Music  -  Colombia"
"Colombia",4,"Musical","Musical  -  Colombia"
"Colombia",49,"Mystery","Mystery  -  Colombia"
"Colombia",3,"Reality TV","Reality TV  -  Colombia"
"Colombia",118,"Romance","Romance  -  Colombia"
"Colombia",18,"Sci Fi","Sci Fi  -  Colombia"
"Colombia",8,"Sport","Sport  -  Colombia"
"Colombia",74,"Thriller","Thriller  -  Colombia"
"Colombia",2,"War","War  -  Colombia"
"Colombia",6,"Western","Western  -  Colombia"
"Costa Rica",127,"Action","Action  -  Costa Rica"
"Costa Rica",95,"Adventure","Adventure  -  Costa Rica"
"Costa Rica",57,"Animation","Animation  -  Costa Rica"
"Costa Rica",5,"Biography","Biography  -  Costa Rica"
"Costa Rica",197,"Comedy","Comedy  -  Costa Rica"
"Costa Rica",100,"Crime","Crime  -  Costa Rica"
"Costa Rica",20,"Documentary","Documentary  -  Costa Rica"
"Costa Rica",326,"Drama","Drama  -  Costa Rica"
"Costa Rica",20,"Family","Family  -  Costa Rica"
"Costa Rica",27,"Fantasy","Fantasy  -  Costa Rica"
"Costa Rica",3,"Film Noir","Film Noir  -  Costa Rica"
"Costa Rica",1,"Game Show","Game Show  -  Costa Rica"
"Costa Rica",31,"Horror","Horror  -  Costa Rica"
"Costa Rica",32,"Music","Music  -  Costa Rica"
"Costa Rica",47,"Mystery","Mystery  -  Costa Rica"
"Costa Rica",4,"Reality TV","Reality TV  -  Costa Rica"
"Costa Rica",138,"Romance","Romance  -  Costa Rica"
"Costa Rica",18,"Sci Fi","Sci Fi  -  Costa Rica"
"Costa Rica",11,"Sport","Sport  -  Costa Rica"
"Costa Rica",70,"Thriller","Thriller  -  Costa Rica"
"Costa Rica",2,"War","War  -  Costa Rica"
"Costa Rica",6,"Western","Western  -  Costa Rica"
"Croatia",187,"Action","Action  -  Croatia"
"Croatia",114,"Adventure","Adventure  -  Croatia"
"Croatia",50,"Animation","Animation  -  Croatia"
"Croatia",8,"Biography","Biography  -  Croatia"
"Croatia",202,"Comedy","Comedy  -  Croatia"
"Croatia",147,"Crime","Crime  -  Croatia"
"Croatia",28,"Documentary","Documentary  -  Croatia"
"Croatia",307,"Drama","Drama  -  Croatia"
"Croatia",22,"Family","Family  -  Croatia"
"Croatia",28,"Fantasy","Fantasy  -  Croatia"
"Croatia",5,"Film Noir","Film Noir  -  Croatia"
"Croatia",15,"Game Show","Game Show  -  Croatia"
"Croatia",5,"History","History  -  Croatia"
"Croatia",23,"Horror","Horror  -  Croatia"
"Croatia",5,"Music","Music  -  Croatia"
"Croatia",51,"Mystery","Mystery  -  Croatia"
"Croatia",19,"Reality TV","Reality TV  -  Croatia"
"Croatia",100,"Romance","Romance  -  Croatia"
"Croatia",17,"Sci Fi","Sci Fi  -  Croatia"
"Croatia",14,"Sport","Sport  -  Croatia"
"Croatia",64,"Thriller","Thriller  -  Croatia"
"Croatia",4,"War","War  -  Croatia"
"Croatia",6,"Western","Western  -  Croatia"
"Cyprus",215,"Action","Action  -  Cyprus"
"Cyprus",134,"Adventure","Adventure  -  Cyprus"
"Cyprus",46,"Animation","Animation  -  Cyprus"
"Cyprus",7,"Biography","Biography  -  Cyprus"
"Cyprus",186,"Comedy","Comedy  -  Cyprus"
"Cyprus",140,"Crime","Crime  -  Cyprus"
"Cyprus",22,"Documentary","Documentary  -  Cyprus"
"Cyprus",339,"Drama","Drama  -  Cyprus"
"Cyprus",27,"Family","Family  -  Cyprus"
"Cyprus",28,"Fantasy","Fantasy  -  Cyprus"
"Cyprus",3,"Film Noir","Film Noir  -  Cyprus"
"Cyprus",11,"Game Show","Game Show  -  Cyprus"
"Cyprus",2,"History","History  -  Cyprus"
"Cyprus",21,"Horror","Horror  -  Cyprus"
"Cyprus",2,"Music","Music  -  Cyprus"
"Cyprus",52,"Mystery","Mystery  -  Cyprus"
"Cyprus",15,"Reality TV","Reality TV  -  Cyprus"
"Cyprus",92,"Romance","Romance  -  Cyprus"
"Cyprus",48,"Sci Fi","Sci Fi  -  Cyprus"
"Cyprus",10,"Sport","Sport  -  Cyprus"
"Cyprus",57,"Thriller","Thriller  -  Cyprus"
"Cyprus",4,"War","War  -  Cyprus"
"Cyprus",3,"Western","Western  -  Cyprus"
"Czech Republic",207,"Action","Action  -  Czech Republic"
"Czech Republic",5,"Adult","Adult  -  Czech Republic"
"Czech Republic",151,"Adventure","Adventure  -  Czech Republic"
"Czech Republic",82,"Animation","Animation  -  Czech Republic"
"Czech Republic",13,"Biography","Biography  -  Czech Republic"
"Czech Republic",185,"Comedy","Comedy  -  Czech Republic"
"Czech Republic",140,"Crime","Crime  -  Czech Republic"
"Czech Republic",30,"Documentary","Documentary  -  Czech Republic"
"Czech Republic",294,"Drama","Drama  -  Czech Republic"
"Czech Republic",23,"Family","Family  -  Czech Republic"
"Czech Republic",49,"Fantasy","Fantasy  -  Czech Republic"
"Czech Republic",3,"Film Noir","Film Noir  -  Czech Republic"
"Czech Republic",19,"Game Show","Game Show  -  Czech Republic"
"Czech Republic",3,"History","History  -  Czech Republic"
"Czech Republic",31,"Horror","Horror  -  Czech Republic"
"Czech Republic",4,"Music","Music  -  Czech Republic"
"Czech Republic",55,"Mystery","Mystery  -  Czech Republic"
"Czech Republic",23,"Reality TV","Reality TV  -  Czech Republic"
"Czech Republic",82,"Romance","Romance  -  Czech Republic"
"Czech Republic",15,"Sci Fi","Sci Fi  -  Czech Republic"
"Czech Republic",13,"Sport","Sport  -  Czech Republic"
"Czech Republic",54,"Thriller","Thriller  -  Czech Republic"
"Czech Republic",3,"War","War  -  Czech Republic"
