"parents","n","labels","id"
"Canada",3,"Film Noir","Canada  -  Film Noir"
"Canada",20,"Game Show","Canada  -  Game Show"
"Canada",4,"History","Canada  -  History"
"Canada",33,"Horror","Canada  -  Horror"
"Canada",2,"Music","Canada  -  Music"
"Canada",1,"Musical","Canada  -  Musical"
"Canada",73,"Mystery","Canada  -  Mystery"
"Canada",37,"Reality TV","Canada  -  Reality TV"
"Canada",85,"Romance","Canada  -  Romance"
"Canada",39,"Sci Fi","Canada  -  Sci Fi"
"Canada",8,"Sport","Canada  -  Sport"
"Canada",84,"Thriller","Canada  -  Thriller"
"Canada",5,"War","Canada  -  War"
"Canada",5,"Western","Canada  -  Western"
"Chile",139,"Action","Chile  -  Action"
"Chile",119,"Adventure","Chile  -  Adventure"
"Chile",70,"Animation","Chile  -  Animation"
"Chile",4,"Biography","Chile  -  Biography"
"Chile",194,"Comedy","Chile  -  Comedy"
"Chile",106,"Crime","Chile  -  Crime"
"Chile",15,"Documentary","Chile  -  Documentary"
"Chile",336,"Drama","Chile  -  Drama"
"Chile",18,"Family","Chile  -  Family"
"Chile",25,"Fantasy","Chile  -  Fantasy"
"Chile",3,"Film Noir","Chile  -  Film Noir"
"Chile",2,"History","Chile  -  History"
"Chile",30,"Horror","Chile  -  Horror"
"Chile",35,"Music","Chile  -  Music"
"Chile",49,"Mystery","Chile  -  Mystery"
"Chile",2,"Reality TV","Chile  -  Reality TV"
"Chile",129,"Romance","Chile  -  Romance"
"Chile",19,"Sci Fi","Chile  -  Sci Fi"
"Chile",8,"Sport","Chile  -  Sport"
"Chile",61,"Thriller","Chile  -  Thriller"
"Chile",3,"War","Chile  -  War"
"Chile",7,"Western","Chile  -  Western"
"Colombia",150,"Action","Colombia  -  Action"
"Colombia",106,"Adventure","Colombia  -  Adventure"
"Colombia",57,"Animation","Colombia  -  Animation"
"Colombia",3,"Biography","Colombia  -  Biography"
"Colombia",184,"Comedy","Colombia  -  Comedy"
"Colombia",116,"Crime","Colombia  -  Crime"
"Colombia",35,"Documentary","Colombia  -  Documentary"
"Colombia",291,"Drama","Colombia  -  Drama"
"Colombia",16,"Family","Colombia  -  Family"
"Colombia",28,"Fantasy","Colombia  -  Fantasy"
"Colombia",2,"Film Noir","Colombia  -  Film Noir"
"Colombia",30,"Horror","Colombia  -  Horror"
"Colombia",16,"Music","Colombia  -  Music"
"Colombia",4,"Musical","Colombia  -  Musical"
"Colombia",49,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",118,"Romance","Colombia  -  Romance"
"Colombia",18,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",8,"Sport","Colombia  -  Sport"
"Colombia",74,"Thriller","Colombia  -  Thriller"
"Colombia",2,"War","Colombia  -  War"
"Colombia",6,"Western","Colombia  -  Western"
"Costa Rica",127,"Action","Costa Rica  -  Action"
"Costa Rica",95,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",57,"Animation","Costa Rica  -  Animation"
"Costa Rica",5,"Biography","Costa Rica  -  Biography"
"Costa Rica",197,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",100,"Crime","Costa Rica  -  Crime"
"Costa Rica",20,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",326,"Drama","Costa Rica  -  Drama"
"Costa Rica",20,"Family","Costa Rica  -  Family"
"Costa Rica",27,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",3,"Film Noir","Costa Rica  -  Film Noir"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",31,"Horror","Costa Rica  -  Horror"
"Costa Rica",32,"Music","Costa Rica  -  Music"
"Costa Rica",47,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",138,"Romance","Costa Rica  -  Romance"
"Costa Rica",18,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",11,"Sport","Costa Rica  -  Sport"
"Costa Rica",70,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",2,"War","Costa Rica  -  War"
"Costa Rica",6,"Western","Costa Rica  -  Western"
"Croatia",187,"Action","Croatia  -  Action"
"Croatia",114,"Adventure","Croatia  -  Adventure"
"Croatia",50,"Animation","Croatia  -  Animation"
"Croatia",8,"Biography","Croatia  -  Biography"
"Croatia",202,"Comedy","Croatia  -  Comedy"
"Croatia",147,"Crime","Croatia  -  Crime"
"Croatia",28,"Documentary","Croatia  -  Documentary"
"Croatia",307,"Drama","Croatia  -  Drama"
"Croatia",22,"Family","Croatia  -  Family"
