"id","n","label","parent"
"total  -  Crime  -  Spain",144,"Spain","total  -  Crime"
"total  -  Drama  -  Spain",329,"Spain","total  -  Drama"
"total  -  Fantasy  -  Spain",35,"Spain","total  -  Fantasy"
"total  -  Horror  -  Spain",33,"Spain","total  -  Horror"
"total  -  Mystery  -  Spain",51,"Spain","total  -  Mystery"
"total  -  Romance  -  Spain",120,"Spain","total  -  Romance"
"total  -  Thriller  -  Spain",60,"Spain","total  -  Thriller"
"total  -  Action  -  Sri Lanka",200,"Sri Lanka","total  -  Action"
"total  -  Adventure  -  Sri Lanka",79,"Sri Lanka","total  -  Adventure"
"total  -  Comedy  -  Sri Lanka",179,"Sri Lanka","total  -  Comedy"
"total  -  Crime  -  Sri Lanka",154,"Sri Lanka","total  -  Crime"
"total  -  Drama  -  Sri Lanka",371,"Sri Lanka","total  -  Drama"
"total  -  Fantasy  -  Sri Lanka",31,"Sri Lanka","total  -  Fantasy"
"total  -  Mystery  -  Sri Lanka",83,"Sri Lanka","total  -  Mystery"
"total  -  Romance  -  Sri Lanka",110,"Sri Lanka","total  -  Romance"
"total  -  Sci Fi  -  Sri Lanka",39,"Sri Lanka","total  -  Sci Fi"
"total  -  Thriller  -  Sri Lanka",68,"Sri Lanka","total  -  Thriller"
"total  -  Action  -  Sweden",197,"Sweden","total  -  Action"
"total  -  Adventure  -  Sweden",128,"Sweden","total  -  Adventure"
"total  -  Animation  -  Sweden",55,"Sweden","total  -  Animation"
"total  -  Comedy  -  Sweden",159,"Sweden","total  -  Comedy"
"total  -  Crime  -  Sweden",149,"Sweden","total  -  Crime"
"total  -  Drama  -  Sweden",337,"Sweden","total  -  Drama"
"total  -  Fantasy  -  Sweden",45,"Sweden","total  -  Fantasy"
"total  -  Mystery  -  Sweden",57,"Sweden","total  -  Mystery"
"total  -  Romance  -  Sweden",85,"Sweden","total  -  Romance"
"total  -  Thriller  -  Sweden",58,"Sweden","total  -  Thriller"
"total  -  Action  -  Switzerland",202,"Switzerland","total  -  Action"
"total  -  Adventure  -  Switzerland",124,"Switzerland","total  -  Adventure"
"total  -  Comedy  -  Switzerland",176,"Switzerland","total  -  Comedy"
"total  -  Crime  -  Switzerland",164,"Switzerland","total  -  Crime"
"total  -  Drama  -  Switzerland",348,"Switzerland","total  -  Drama"
"total  -  Family  -  Switzerland",39,"Switzerland","total  -  Family"
"total  -  Fantasy  -  Switzerland",57,"Switzerland","total  -  Fantasy"
"total  -  Mystery  -  Switzerland",61,"Switzerland","total  -  Mystery"
"total  -  Romance  -  Switzerland",97,"Switzerland","total  -  Romance"
"total  -  Thriller  -  Switzerland",61,"Switzerland","total  -  Thriller"
"total  -  Action  -  Taiwan",214,"Taiwan","total  -  Action"
"total  -  Adventure  -  Taiwan",102,"Taiwan","total  -  Adventure"
"total  -  Comedy  -  Taiwan",161,"Taiwan","total  -  Comedy"
"total  -  Crime  -  Taiwan",112,"Taiwan","total  -  Crime"
"total  -  Drama  -  Taiwan",360,"Taiwan","total  -  Drama"
"total  -  Fantasy  -  Taiwan",36,"Taiwan","total  -  Fantasy"
"total  -  Mystery  -  Taiwan",85,"Taiwan","total  -  Mystery"
"total  -  Romance  -  Taiwan",149,"Taiwan","total  -  Romance"
"total  -  Sci Fi  -  Taiwan",50,"Taiwan","total  -  Sci Fi"
"total  -  Thriller  -  Taiwan",62,"Taiwan","total  -  Thriller"
"total  -  Action  -  Thailand",257,"Thailand","total  -  Action"
"total  -  Adventure  -  Thailand",145,"Thailand","total  -  Adventure"
"total  -  Animation  -  Thailand",48,"Thailand","total  -  Animation"
"total  -  Comedy  -  Thailand",190,"Thailand","total  -  Comedy"
"total  -  Crime  -  Thailand",123,"Thailand","total  -  Crime"
"total  -  Drama  -  Thailand",267,"Thailand","total  -  Drama"
"total  -  Mystery  -  Thailand",64,"Thailand","total  -  Mystery"
"total  -  Romance  -  Thailand",131,"Thailand","total  -  Romance"
"total  -  Sci Fi  -  Thailand",47,"Thailand","total  -  Sci Fi"
"total  -  Thriller  -  Thailand",78,"Thailand","total  -  Thriller"
"total  -  Action  -  Trinidad and Tobago",193,"Trinidad and Tobago","total  -  Action"
"total  -  Adventure  -  Trinidad and Tobago",116,"Trinidad and Tobago","total  -  Adventure"
"total  -  Animation  -  Trinidad and Tobago",54,"Trinidad and Tobago","total  -  Animation"
"total  -  Comedy  -  Trinidad and Tobago",172,"Trinidad and Tobago","total  -  Comedy"
"total  -  Crime  -  Trinidad and Tobago",134,"Trinidad and Tobago","total  -  Crime"
"total  -  Drama  -  Trinidad and Tobago",294,"Trinidad and Tobago","total  -  Drama"
"total  -  Fantasy  -  Trinidad and Tobago",43,"Trinidad and Tobago","total  -  Fantasy"
"total  -  Mystery  -  Trinidad and Tobago",53,"Trinidad and Tobago","total  -  Mystery"
"total  -  Romance  -  Trinidad and Tobago",94,"Trinidad and Tobago","total  -  Romance"
"total  -  Thriller  -  Trinidad and Tobago",98,"Trinidad and Tobago","total  -  Thriller"
"total  -  Action  -  Turkey",227,"Turkey","total  -  Action"
"total  -  Adventure  -  Turkey",121,"Turkey","total  -  Adventure"
"total  -  Comedy  -  Turkey",144,"Turkey","total  -  Comedy"
"total  -  Crime  -  Turkey",157,"Turkey","total  -  Crime"
"total  -  Drama  -  Turkey",381,"Turkey","total  -  Drama"
"total  -  Fantasy  -  Turkey",60,"Turkey","total  -  Fantasy"
"total  -  Horror  -  Turkey",41,"Turkey","total  -  Horror"
"total  -  Mystery  -  Turkey",54,"Turkey","total  -  Mystery"
"total  -  Romance  -  Turkey",97,"Turkey","total  -  Romance"
"total  -  Thriller  -  Turkey",78,"Turkey","total  -  Thriller"
"total  -  Action  -  Ukraine",232,"Ukraine","total  -  Action"
"total  -  Adventure  -  Ukraine",137,"Ukraine","total  -  Adventure"
"total  -  Animation  -  Ukraine",64,"Ukraine","total  -  Animation"
"total  -  Comedy  -  Ukraine",179,"Ukraine","total  -  Comedy"
"total  -  Crime  -  Ukraine",181,"Ukraine","total  -  Crime"
"total  -  Drama  -  Ukraine",338,"Ukraine","total  -  Drama"
"total  -  Fantasy  -  Ukraine",33,"Ukraine","total  -  Fantasy"
"total  -  Mystery  -  Ukraine",50,"Ukraine","total  -  Mystery"
"total  -  Romance  -  Ukraine",80,"Ukraine","total  -  Romance"
"total  -  Thriller  -  Ukraine",69,"Ukraine","total  -  Thriller"
"total  -  Action  -  United Arab Emirates",217,"United Arab Emirates","total  -  Action"
"total  -  Adventure  -  United Arab Emirates",120,"United Arab Emirates","total  -  Adventure"
"total  -  Animation  -  United Arab Emirates",36,"United Arab Emirates","total  -  Animation"
"total  -  Comedy  -  United Arab Emirates",162,"United Arab Emirates","total  -  Comedy"
"total  -  Crime  -  United Arab Emirates",149,"United Arab Emirates","total  -  Crime"
"total  -  Drama  -  United Arab Emirates",350,"United Arab Emirates","total  -  Drama"
"total  -  Fantasy  -  United Arab Emirates",42,"United Arab Emirates","total  -  Fantasy"
"total  -  Mystery  -  United Arab Emirates",57,"United Arab Emirates","total  -  Mystery"
"total  -  Romance  -  United Arab Emirates",111,"United Arab Emirates","total  -  Romance"
"total  -  Thriller  -  United Arab Emirates",74,"United Arab Emirates","total  -  Thriller"
"total  -  Action  -  United Kingdom",181,"United Kingdom","total  -  Action"
"total  -  Adventure  -  United Kingdom",140,"United Kingdom","total  -  Adventure"
"total  -  Animation  -  United Kingdom",59,"United Kingdom","total  -  Animation"
"total  -  Comedy  -  United Kingdom",214,"United Kingdom","total  -  Comedy"
"total  -  Crime  -  United Kingdom",126,"United Kingdom","total  -  Crime"
"total  -  Drama  -  United Kingdom",283,"United Kingdom","total  -  Drama"
"total  -  Mystery  -  United Kingdom",43,"United Kingdom","total  -  Mystery"
"total  -  Romance  -  United Kingdom",94,"United Kingdom","total  -  Romance"
"total  -  Sci Fi  -  United Kingdom",36,"United Kingdom","total  -  Sci Fi"
"total  -  Thriller  -  United Kingdom",60,"United Kingdom","total  -  Thriller"
"total  -  Action  -  United States",163,"United States","total  -  Action"
"total  -  Adventure  -  United States",108,"United States","total  -  Adventure"
"total  -  Animation  -  United States",45,"United States","total  -  Animation"
"total  -  Comedy  -  United States",155,"United States","total  -  Comedy"
"total  -  Crime  -  United States",109,"United States","total  -  Crime"
"total  -  Drama  -  United States",287,"United States","total  -  Drama"
"total  -  Family  -  United States",35,"United States","total  -  Family"
"total  -  Mystery  -  United States",57,"United States","total  -  Mystery"
"total  -  Romance  -  United States",76,"United States","total  -  Romance"
"total  -  Thriller  -  United States",49,"United States","total  -  Thriller"
"total  -  Action  -  Uruguay",145,"Uruguay","total  -  Action"
"total  -  Adventure  -  Uruguay",104,"Uruguay","total  -  Adventure"
"total  -  Animation  -  Uruguay",44,"Uruguay","total  -  Animation"
"total  -  Comedy  -  Uruguay",162,"Uruguay","total  -  Comedy"
"total  -  Crime  -  Uruguay",148,"Uruguay","total  -  Crime"
"total  -  Drama  -  Uruguay",372,"Uruguay","total  -  Drama"
"total  -  Music  -  Uruguay",35,"Uruguay","total  -  Music"
"total  -  Mystery  -  Uruguay",65,"Uruguay","total  -  Mystery"
"total  -  Romance  -  Uruguay",95,"Uruguay","total  -  Romance"
"total  -  Thriller  -  Uruguay",83,"Uruguay","total  -  Thriller"
"total  -  Action  -  Venezuela",141,"Venezuela","total  -  Action"
"total  -  Adventure  -  Venezuela",75,"Venezuela","total  -  Adventure"
"total  -  Animation  -  Venezuela",34,"Venezuela","total  -  Animation"
"total  -  Comedy  -  Venezuela",168,"Venezuela","total  -  Comedy"
"total  -  Crime  -  Venezuela",124,"Venezuela","total  -  Crime"
"total  -  Drama  -  Venezuela",327,"Venezuela","total  -  Drama"
"total  -  Horror  -  Venezuela",28,"Venezuela","total  -  Horror"
"total  -  Mystery  -  Venezuela",50,"Venezuela","total  -  Mystery"
"total  -  Romance  -  Venezuela",125,"Venezuela","total  -  Romance"
"total  -  Thriller  -  Venezuela",80,"Venezuela","total  -  Thriller"
"total  -  Action  -  Vietnam",286,"Vietnam","total  -  Action"
"total  -  Adventure  -  Vietnam",139,"Vietnam","total  -  Adventure"
"total  -  Comedy  -  Vietnam",232,"Vietnam","total  -  Comedy"
"total  -  Crime  -  Vietnam",136,"Vietnam","total  -  Crime"
"total  -  Drama  -  Vietnam",337,"Vietnam","total  -  Drama"
"total  -  Fantasy  -  Vietnam",41,"Vietnam","total  -  Fantasy"
"total  -  Mystery  -  Vietnam",61,"Vietnam","total  -  Mystery"
"total  -  Romance  -  Vietnam",122,"Vietnam","total  -  Romance"
"total  -  Sci Fi  -  Vietnam",51,"Vietnam","total  -  Sci Fi"
"total  -  Thriller  -  Vietnam",76,"Vietnam","total  -  Thriller"
