"id","n","label","parent"
"total  -  Action  -  Ecuador",153,"Ecuador","total  -  Action"
"total  -  Adventure  -  Ecuador",119,"Ecuador","total  -  Adventure"
"total  -  Animation  -  Ecuador",67,"Ecuador","total  -  Animation"
"total  -  Comedy  -  Ecuador",192,"Ecuador","total  -  Comedy"
"total  -  Crime  -  Ecuador",90,"Ecuador","total  -  Crime"
"total  -  Drama  -  Ecuador",277,"Ecuador","total  -  Drama"
"total  -  Music  -  Ecuador",31,"Ecuador","total  -  Music"
"total  -  Mystery  -  Ecuador",41,"Ecuador","total  -  Mystery"
"total  -  Romance  -  Ecuador",104,"Ecuador","total  -  Romance"
"total  -  Thriller  -  Ecuador",64,"Ecuador","total  -  Thriller"
"total  -  Action  -  Egypt",204,"Egypt","total  -  Action"
"total  -  Adventure  -  Egypt",107,"Egypt","total  -  Adventure"
"total  -  Animation  -  Egypt",36,"Egypt","total  -  Animation"
"total  -  Comedy  -  Egypt",176,"Egypt","total  -  Comedy"
"total  -  Crime  -  Egypt",130,"Egypt","total  -  Crime"
"total  -  Drama  -  Egypt",338,"Egypt","total  -  Drama"
"total  -  Fantasy  -  Egypt",36,"Egypt","total  -  Fantasy"
"total  -  Mystery  -  Egypt",49,"Egypt","total  -  Mystery"
"total  -  Romance  -  Egypt",105,"Egypt","total  -  Romance"
"total  -  Thriller  -  Egypt",73,"Egypt","total  -  Thriller"
"total  -  Action  -  El Salvador",142,"El Salvador","total  -  Action"
"total  -  Adventure  -  El Salvador",103,"El Salvador","total  -  Adventure"
"total  -  Animation  -  El Salvador",62,"El Salvador","total  -  Animation"
"total  -  Comedy  -  El Salvador",186,"El Salvador","total  -  Comedy"
"total  -  Crime  -  El Salvador",106,"El Salvador","total  -  Crime"
"total  -  Drama  -  El Salvador",293,"El Salvador","total  -  Drama"
"total  -  Music  -  El Salvador",30,"El Salvador","total  -  Music"
"total  -  Mystery  -  El Salvador",43,"El Salvador","total  -  Mystery"
"total  -  Romance  -  El Salvador",110,"El Salvador","total  -  Romance"
"total  -  Thriller  -  El Salvador",63,"El Salvador","total  -  Thriller"
"total  -  Action  -  Estonia",193,"Estonia","total  -  Action"
"total  -  Adventure  -  Estonia",126,"Estonia","total  -  Adventure"
"total  -  Animation  -  Estonia",52,"Estonia","total  -  Animation"
"total  -  Comedy  -  Estonia",217,"Estonia","total  -  Comedy"
"total  -  Crime  -  Estonia",114,"Estonia","total  -  Crime"
"total  -  Drama  -  Estonia",261,"Estonia","total  -  Drama"
"total  -  Mystery  -  Estonia",60,"Estonia","total  -  Mystery"
"total  -  Romance  -  Estonia",87,"Estonia","total  -  Romance"
"total  -  Sci Fi  -  Estonia",49,"Estonia","total  -  Sci Fi"
"total  -  Thriller  -  Estonia",57,"Estonia","total  -  Thriller"
"total  -  Action  -  Finland",209,"Finland","total  -  Action"
"total  -  Adventure  -  Finland",116,"Finland","total  -  Adventure"
"total  -  Animation  -  Finland",57,"Finland","total  -  Animation"
"total  -  Comedy  -  Finland",174,"Finland","total  -  Comedy"
"total  -  Crime  -  Finland",157,"Finland","total  -  Crime"
"total  -  Drama  -  Finland",335,"Finland","total  -  Drama"
"total  -  Fantasy  -  Finland",36,"Finland","total  -  Fantasy"
"total  -  Mystery  -  Finland",56,"Finland","total  -  Mystery"
"total  -  Romance  -  Finland",82,"Finland","total  -  Romance"
"total  -  Thriller  -  Finland",60,"Finland","total  -  Thriller"
"total  -  Action  -  France",217,"France","total  -  Action"
"total  -  Adventure  -  France",133,"France","total  -  Adventure"
"total  -  Animation  -  France",49,"France","total  -  Animation"
"total  -  Comedy  -  France",154,"France","total  -  Comedy"
"total  -  Crime  -  France",148,"France","total  -  Crime"
"total  -  Drama  -  France",352,"France","total  -  Drama"
"total  -  Fantasy  -  France",58,"France","total  -  Fantasy"
"total  -  Mystery  -  France",51,"France","total  -  Mystery"
"total  -  Romance  -  France",79,"France","total  -  Romance"
"total  -  Thriller  -  France",78,"France","total  -  Thriller"
"total  -  Action  -  Germany",216,"Germany","total  -  Action"
"total  -  Adventure  -  Germany",154,"Germany","total  -  Adventure"
"total  -  Comedy  -  Germany",183,"Germany","total  -  Comedy"
"total  -  Crime  -  Germany",153,"Germany","total  -  Crime"
"total  -  Drama  -  Germany",324,"Germany","total  -  Drama"
"total  -  Family  -  Germany",53,"Germany","total  -  Family"
"total  -  Fantasy  -  Germany",69,"Germany","total  -  Fantasy"
"total  -  Mystery  -  Germany",56,"Germany","total  -  Mystery"
"total  -  Romance  -  Germany",79,"Germany","total  -  Romance"
"total  -  Thriller  -  Germany",74,"Germany","total  -  Thriller"
"total  -  Action  -  Greece",201,"Greece","total  -  Action"
"total  -  Adventure  -  Greece",129,"Greece","total  -  Adventure"
"total  -  Animation  -  Greece",49,"Greece","total  -  Animation"
"total  -  Comedy  -  Greece",166,"Greece","total  -  Comedy"
"total  -  Crime  -  Greece",143,"Greece","total  -  Crime"
"total  -  Drama  -  Greece",335,"Greece","total  -  Drama"
"total  -  Fantasy  -  Greece",44,"Greece","total  -  Fantasy"
"total  -  Mystery  -  Greece",58,"Greece","total  -  Mystery"
"total  -  Romance  -  Greece",93,"Greece","total  -  Romance"
"total  -  Thriller  -  Greece",55,"Greece","total  -  Thriller"
"total  -  Action  -  Guadeloupe",229,"Guadeloupe","total  -  Action"
"total  -  Adventure  -  Guadeloupe",106,"Guadeloupe","total  -  Adventure"
"total  -  Animation  -  Guadeloupe",46,"Guadeloupe","total  -  Animation"
"total  -  Comedy  -  Guadeloupe",159,"Guadeloupe","total  -  Comedy"
"total  -  Crime  -  Guadeloupe",147,"Guadeloupe","total  -  Crime"
"total  -  Drama  -  Guadeloupe",344,"Guadeloupe","total  -  Drama"
"total  -  Fantasy  -  Guadeloupe",49,"Guadeloupe","total  -  Fantasy"
"total  -  Mystery  -  Guadeloupe",42,"Guadeloupe","total  -  Mystery"
"total  -  Romance  -  Guadeloupe",83,"Guadeloupe","total  -  Romance"
"total  -  Thriller  -  Guadeloupe",69,"Guadeloupe","total  -  Thriller"
"total  -  Action  -  Guatemala",127,"Guatemala","total  -  Action"
"total  -  Adventure  -  Guatemala",100,"Guatemala","total  -  Adventure"
"total  -  Animation  -  Guatemala",60,"Guatemala","total  -  Animation"
"total  -  Comedy  -  Guatemala",196,"Guatemala","total  -  Comedy"
"total  -  Crime  -  Guatemala",97,"Guatemala","total  -  Crime"
"total  -  Drama  -  Guatemala",301,"Guatemala","total  -  Drama"
"total  -  Music  -  Guatemala",31,"Guatemala","total  -  Music"
"total  -  Mystery  -  Guatemala",46,"Guatemala","total  -  Mystery"
"total  -  Romance  -  Guatemala",119,"Guatemala","total  -  Romance"
"total  -  Thriller  -  Guatemala",62,"Guatemala","total  -  Thriller"
"total  -  Action  -  Honduras",139,"Honduras","total  -  Action"
"total  -  Adventure  -  Honduras",88,"Honduras","total  -  Adventure"
"total  -  Animation  -  Honduras",44,"Honduras","total  -  Animation"
"total  -  Comedy  -  Honduras",187,"Honduras","total  -  Comedy"
"total  -  Crime  -  Honduras",109,"Honduras","total  -  Crime"
"total  -  Drama  -  Honduras",310,"Honduras","total  -  Drama"
"total  -  Music  -  Honduras",31,"Honduras","total  -  Music"
"total  -  Mystery  -  Honduras",47,"Honduras","total  -  Mystery"
"total  -  Romance  -  Honduras",124,"Honduras","total  -  Romance"
"total  -  Thriller  -  Honduras",67,"Honduras","total  -  Thriller"
"total  -  Action  -  Hong Kong",255,"Hong Kong","total  -  Action"
"total  -  Adventure  -  Hong Kong",121,"Hong Kong","total  -  Adventure"
"total  -  Comedy  -  Hong Kong",152,"Hong Kong","total  -  Comedy"
"total  -  Crime  -  Hong Kong",113,"Hong Kong","total  -  Crime"
